시설명,시설코드,시설종류명(시설유형),시설종류상세명(시설종류),자치구(시)구분,시설장명,시군구코드,시군구명,시설주소
동작노인종합복지관,A2509,(노인) 노인복지관,노인여가복지시설,자치구,김익환,1159000000,동작구,서울특별시 동작구 상도로11길 7(대방동)
성북구립 장위실버복지센터,A2723,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김나윤,1129000000,성북구,서울특별시 성북구 한천로 655 (장위동)
구립중화경로복지관,A2732,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김형기,1126000000,중랑구,서울특별시 중랑구 동일로138길 28 (중화동)
시립성북노인종합복지관,A2733,(노인) 노인복지관,노인여가복지시설,자치구,송향숙,1129000000,성북구,서울특별시 성북구 종암로15길 10(종암동)
시립노원노인종합복지관,A2739,(노인) 노인복지관,노인여가복지시설,자치구,박지은,1135000000,노원구,서울특별시 노원구 노원로16길 15호(하계동)
시립용산노인종합복지관,A2758,(노인) 노인복지관,노인여가복지시설,자치구,이성희,1117000000,용산구,서울특별시 용산구 독서당로11길16 (한남동)
서울시립강서노인종합복지관,A2771,(노인) 노인복지관,노인여가복지시설,자치구,임무영,1150000000,강서구,서울특별시 강서구 화곡로61길 85서울특별시 강서구 화곡로61길  85
관악노인종합복지관,A2776,(노인) 노인복지관,노인여가복지시설,자치구,이석영,1162000000,관악구,서울특별시 관악구 보라매로 35(봉천동)
서울노인복지센터,A2947,(노인) 노인복지관,노인여가복지시설,자치구,김경미,1111000000,종로구,서울특별시 종로구 삼일대로 467(경운동)
서대문노인종합복지관,A2955,(노인) 노인복지관,노인여가복지시설,자치구,탁우상,1141000000,서대문구,서울특별시 서대문구 독립문로8길 57(천연동)
창동어르신복지관,A2991,(노인) 노인복지관(소규모),노인여가복지시설,자치구,박미연,1132000000,도봉구,서울특별시 도봉구 덕릉로60차길 6-0
구립신내노인종합복지관,A3015,(노인) 노인복지관,노인여가복지시설,자치구,김종범,1126000000,중랑구,서울특별시 중랑구 신내로15길 175(신내동)
쌍문동어르신복지관,A3085,(노인) 노인복지관(소규모),노인여가복지시설,자치구,박미정,1132000000,도봉구,서울특별시 도봉구 우이천로 363
서울시립동대문노인종합복지관,A3206,(노인) 노인복지관,노인여가복지시설,자치구,민경원,1123000000,동대문구,서울특별시 동대문구 제기로33길 25-0(청량리동)
방학동어르신복지관,A3812,(노인) 노인복지관(소규모),노인여가복지시설,자치구,박현우,1132000000,도봉구,서울특별시 도봉구 시루봉로 15라길 59-9 (방학동)
종로노인종합복지관,A3971,(노인) 노인복지관,노인여가복지시설,자치구,정영순,1111000000,종로구,서울특별시 종로구 율곡로19길 17-8(이화동)
성동노인종합복지관,A4002,(노인) 노인복지관,노인여가복지시설,자치구,김광수,1120000000,성동구,서울특별시 성동구 마조로 77 (마장동)
구립영등포노인종합복지관,A4035,(노인) 노인복지관,노인여가복지시설,자치구,박영숙,1156000000,영등포구,서울특별시 영등포구 도림로 482
청파노인복지센터,A4195,(노인) 노인복지관(소규모),노인여가복지시설,자치구,임은정,1117000000,용산구,서울특별시 용산구 청파로83길 26서계동 (서계동)
역삼노인복지센터,A4790,(노인) 노인복지관(소규모),노인여가복지시설,자치구,오지영,1168000000,강남구,서울특별시 강남구 도곡로27길 27
서초구립중앙노인종합복지관,A4947,(노인) 노인복지관,노인여가복지시설,자치구,박준기,1165000000,서초구,서울특별시 서초구 서초대로54길 45
